id,category,name,description,instagram,logo_url,members,tiktok,Callink Page,LEAD Center Advisor,reach out,photo path
46297,3,American Indian Graduate Student Association,"The American Indian Graduate Student Association (AIGSA) is dedicated to bringing Native and Indigenous identifying graduate students together from across campus. Through academic, social, and outreach events, AIGSA works towards strengthening the Native American/Indigenous student community on-campus and beyond. AIGSA also provides opportunities for Native grad students to connect with other students, staff, and faculty who are Native or work in areas that impact Native peoples. ",,https://se-images.campuslabs.com/clink/images/99c29e06-2919-4178-8d23-0e7375319e7520544186-3581-4e3b-b5c8-026083eb391e.JPG?preset=med-sq,,,https://callink.berkeley.edu/organization/gaamericanindiangraduatestudentassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,aigsa@lists.berkeley.edu,sample_data/logo American Indian Graduate Student Association.jpg
91567,1,American Institute of Aeronautics and Astronautics at Berkeley,"The objective of this organization is to further, within its institution, the purposes and programs of AIAA (the Institute). Additionally, the student branch is established to highlight to their university and local community the value of the aerospace industry and the role played by AIAA. Organizationally, student branches are part of the AIAA Regional Engagement Activities Division (READ).",,https://se-images.campuslabs.com/clink/images/0f4e5f7f-1375-4fc9-ba15-a1e234deba958fe21f99-d3ce-4f1f-b33f-1bbb808c808e.png?preset=med-sq,,,https://callink.berkeley.edu/organization/aiaa,LEAD Center Category: Professional RSO,TBD,sample_data/logo American Institute of Aeronautics and Astronautics at Berkeley.jpg
46423,1,American Institute of Architecture Students,"The mission of The American Institute of Architecture Students is to promote excellence in architectural education, training, and practice; to foster an appreciation of architecture and related disciplines; to enrich communities in a spirit of collaboration; and to organize students and combine their efforts to advance the interdisciplinary field of architecture.",,https://se-images.campuslabs.com/clink/images/8b82e1b0-9bc4-4018-a878-4b5eb1bcb17324d16115-3965-4b5c-b12a-34a8d3832b88.png?preset=med-sq,,,https://callink.berkeley.edu/organization/americaninstituteforarchitecturestudents,LEAD Center Category: Professional RSO,"We will host info-sessions at the beginning of the semester. To join, fill out our interest form posted on our linktree (linked on AIAS instagram profile). Feel free to check out our instagram to see some of the events we host. Please email aiasberkeley@gmail.com if you’d like more information!",sample_data/logo American Institute of Architecture Students.jpg
45859,1,American Medical Students Association: Berkeley Premedical Chapter,"The mission of the American Medical Student Association is to develop professionalism and activism in our members as physicians-in-training. We aim to prepare students for medical school by providing resources, support, and leadership development. As activists, we seek to educate premedical students about public health issues and advocacy, such as health policy, the culture of medicine, global health, and preventative medicine. We believe that comprehensive medical education is necessary for the development of every physician. If you are pre-med or pre-health, please consider joining our community!",,https://se-images.campuslabs.com/clink/images/2b30c137-1307-4db1-9e9b-41c84f4cd6cd5c452e24-70b6-4d06-b958-a29c29f92ccb.png?preset=med-sq,,,https://callink.berkeley.edu/organization/amsa,LEAD Center Category: Professional RSO,"Join our newsletter here: https://berkeley.us3.list-manage.com/subscribe?u=50cc9bbf413695039c880161e&id=cf2d30aa7b In AMSA, you can either be a general member, a committee member, or a board/executive member. With the levels of involvement increasing from general members to board members, AMSA offers everyone numerous opportunities to participate within the organization. To know more about ways to get involved and what we do, please follow us on social media and attend our upcoming infosessions!",sample_data/logo American Medical Students Association: Berkeley Premedical Chapter.jpg
91324,3,American Medical Women's Association at Berkeley,"AMWA at Berkeley is a Premedical division branch of the National American Medical Women's Association. AMWA membership is comprised of physicians, residents, medical students, pre-medical students, health care professionals, and supporters.  AMWA is the oldest multispecialty organization dedicated to advancing women in medicine and improving women’s health.",,https://se-images.campuslabs.com/clink/images/105565c2-d04a-4bfd-94bb-a9aadb8e90a249133d1b-9c76-46ec-ad82-a2dc2a485340.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/AMWA-Berkeley,LEAD Center Category: Cultural & Identity/Women Interest RSO,"Go to our website amwaberkeley.com and click ""Get Involved"" to join our newsletter OR email amwaberkeley@gmail.com for more info!",sample_data/logo American Medical Women's Association at Berkeley.jpg
46612,1,American Optometric Student Association,The AOSA is committed to empowering students to thrive as doctors of optometry and strives to be the guiding force that leads students into successful and impactful careers.,,https://se-images.campuslabs.com/clink/images/921d5b87-d627-4f12-926e-104edc76ea1924e4032d-fd59-4027-bce7-9275d78316d9.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/aosa,LEAD Center Category: Professional RSO,Students at the UC Berkeley School of Optometry are automatically enrolled as members of the AOSA each year. Email our Primary Contact for more info about upcoming events & opportunities to get involved.,sample_data/logo American Optometric Student Association.jpg
220489,1,American Physician Scientist Association at Berkeley,"The mission of APSA at Berkeley (American Physician Scientists Association at Berkeley) is to spread awareness of physician-scientist and MD-PhD programs. It prepares members for training and development as physician-scientists by networking at the local and regional level, provides resources for success in MD-PhD programs, and inspires others to pursue careers as research physicians through community outreach and education. Everyone is welcome!",,https://se-images.campuslabs.com/clink/images/0ec6b028-fa35-42ed-922c-1e46ae196b5105dae7e9-71b0-40b4-8b7d-b31eb721ee36.JPG?preset=med-sq,,,https://callink.berkeley.edu/organization/americanphysicianscientists,LEAD Center Category: Professional RSO,https://www.ocf.berkeley.edu/~berkeleyapsa/,sample_data/logo American Physician Scientist Association at Berkeley.jpg
46729,3,American Sign Language at Berkeley,"ASL at Berkeley aims to discuss and learn ASL, facilitate a community between hearing and Deaf communities, and to bring awareness to ableism and the issues that the Deaf community face. Our goal is to spread resources made by the Deaf and hard of hearing people to amplify their point of views on the issues they face. ",,https://se-images.campuslabs.com/clink/images/305fdcd3-105b-4477-8978-e6a77b47c6a09effc90a-4850-47f2-b8fc-e68e14718ad9.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/StudentsforAmericanSignLanguageatBerkeley,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Fill out the Membership form: https://forms.gle/ZtPQkccWFGWMAQaP6,sample_data/logo American Sign Language at Berkeley.jpg
46637,1,American Society of Landscape Architects,"The UC Berkeley student chapter of the American Society of Landscape Architects(ASLA@Berkeley) is the student group representing all students studying landscape architecture, environmental planning and urban design (serving BLA, MLA, MLA-EP, MUD, and Ph.D students).",,https://se-images.campuslabs.com/clink/images/2ef23166-73f9-4321-b6d7-64bbe0b3491c5b39efec-1953-465b-8a4c-7e35f09a9cff.png?preset=med-sq,,,https://callink.berkeley.edu/organization/americansocietyoflandscapearchitects,LEAD Center Category: Professional RSO,Email our Primary Contact for more info,sample_data/logo American Society of Landscape Architects.jpg
91794,1,American Society of Mechanical Engineers,The American Society of Mechanical Engineers is a professional engineering organization dedicated to the professional development of engineering students on the Berkeley campus.,,https://se-images.campuslabs.com/clink/images/39d71b43-90fa-4aec-a2ad-e5ccbcf8cfd367dde6b6-b9c3-4971-9fcd-b49c914a492c.png?preset=med-sq,,,https://callink.berkeley.edu/organization/asme,LEAD Center Category: Professional RSO,Get added to our mailing list! http://bit.ly/asme_mailchimp,sample_data/logo American Society of Mechanical Engineers.jpg
91713,3,Amores Valientes,"Amores Valientes is a community of Queer & Trans Latinx students at University of California Berkeley. The purpose of AV is to provide a safe space, to create a social environment for networking and community building for the Queer/Trans Latinx community on campus. AV does this by having programming and collaborating with other organizations on campus following the democratic principles of participation and where respect and confidentiality are fostered. Our meeting times will be on our Instagram linked below, if not @amores_valientes",,https://se-images.campuslabs.com/clink/images/4d3f94b3-6acf-4c42-b025-e43f1e65d4bb32d7abef-37c0-461a-ba47-60f184959831.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/AmoresValientes,LEAD Center Category: Cultural & Identity/LGBTQ+ RSO,tinyurl.com/AVInternApp,sample_data/logo Amores Valientes.jpg
220484,1,Analytics Consulting Organization at Berkeley,,,https://se-images.campuslabs.com/clink/images/1043f823-8ecc-425c-9ba8-d3de0230176cd025f351-d680-4ae0-b6cf-c012ce4e327d.png?preset=med-sq,,,https://callink.berkeley.edu/organization/ACOrB,LEAD Center Category: Professional RSO,More information coming soon,sample_data/logo Analytics Consulting Organization at Berkeley.jpg
46382,1,Animal Legal Defense Fund of Berkeley Law,"The ALDF is dedicated to providing a forum for education, advocacy, and scholarship aimed at protecting the lives and advancing the interests of animals through the legal system, and raising the profile of the field of animal law.",,https://se-images.campuslabs.com/clink/images/fea78a98-6dfc-4793-9d81-661869d68ebfbfd82fc2-068f-40a1-b0ac-42c302a54e22.png?preset=med-sq,,,https://callink.berkeley.edu/organization/animallegaldefense,LEAD Center Category: Professional RSO,Email our lead organizer to get more involved!,sample_data/logo Animal Legal Defense Fund of Berkeley Law.jpg
45863,3,Arab Student Union,"We are the Arab Student Union (ASU) and our goal is to create and maintain an Arab environment for the benefit of Arab students and interested members of the community and to promote an understanding of the Arab history, culture, and heritage at the University of California, Berkeley - through education and example.",,https://se-images.campuslabs.com/clink/images/a2bde30d-c181-414c-ae64-8f11473954347606dcd1-65f0-4348-ace1-da654a9ecfcd.png?preset=med-sq,,,https://callink.berkeley.edu/organization/arabstudentunion,LEAD Center Category: Cultural & Identity/International RSO,Apply to be apart of our fall 2023 board @ tinyurl.com/ASUF23App. Sign-up to become a general member @ tinyurl.com/ASUGeneralMember,sample_data/logo Arab Student Union.jpg
342609,3,Armenian Pre-Health Society,This organization is a way for Armenian peers to connect with graduate students in thier intended pre-health fields while allowing them to make connections and enable them to network with others. ,,https://se-images.campuslabs.com/clink/images/d74168c2-ab96-46b0-ad34-c199257b5715870eaae7-be69-4c09-b1cb-e0392213313d.png?preset=med-sq,,,https://callink.berkeley.edu/organization/ArmenianPHS,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,https://forms.gle/YaboVJja1uHQJdnm9,sample_data/logo Armenian Pre-Health Society.jpg
368703,1,Armenian Pre-Law Society,,,https://se-images.campuslabs.com/clink/images/c4936eb3-6db6-4a7d-b871-737a14bc53982340d3f7-7fa1-440c-b8aa-dfb486d6d866.png?preset=med-sq,,,https://callink.berkeley.edu/organization/armenianprelawsociety,LEAD Center Category: Professional RSO,https://forms.gle/rGwq5xUbrNwvEdS69,sample_data/logo Armenian Pre-Law Society.jpg
45865,3,Armenian Student Association,"The Armenian Students Association at the University of California, Berkeley was founded in 1976. Its mission since has been to foster a community where Armenian students can embrace their heritage and cultivate a spirit of appreciation towards Armenian history and culture through social, cultural, philanthropic, and professional events. ",,https://se-images.campuslabs.com/clink/images/bb123f4c-886a-4d6d-9f19-5025628b74b68b6e6b48-4dc5-4bab-8518-b3e5116b7cd0.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/armenianstudentsassociation,LEAD Center Category: Cultural & Identity/International RSO,"To get involved in Cal ASA, please follow our Instagram account (@cal_asa) for updates about upcoming events, cultural development, and more ways to get involved in our link tree.",sample_data/logo Armenian Student Association.jpg
91798,1,Arnold Air Society,"The Arnold Air Society is a professional, honorary, service organization advocating the support of aerospace power.",,https://se-images.campuslabs.com/clink/images/be4dbaa2-9de4-426d-aaf6-4bf228f4ded89767bb88-d9e2-44df-aedc-e759dd7e026a.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/arnoldairsociety,LEAD Center Category: Professional RSO,Email our Primary Contact for more info,sample_data/logo Arnold Air Society.jpg
351118,3,"Aro""slash""Ace Space at Berkeley",,,https://se-images.campuslabs.com/clink/images/a20034e1-77ae-4e50-8b06-c19aa5614249582a515f-ca91-405a-b520-4211f94d1712.png?preset=med-sq,,,https://callink.berkeley.edu/organization/aroace,LEAD Center Category: Cultural & Identity/LGBTQ+ RSO,"If you want to be added to our Discord community or come to our biweekly meetings, email aroaceberkeley@gmail.com!","sample_data/logo Aro""slash""Ace Space at Berkeley.jpg"
378180,1,Art Law Society,,,https://se-images.campuslabs.com/clink/images/7ec04d6a-d777-4bec-a889-e7104ac71a29e60cb224-75bb-47b2-83d1-301493249d25.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/ArtLawSociety,LEAD Center Category: Professional RSO,Please contact us at artlawsociety@berkeley.edu to get on our mailing list.,sample_data/logo Art Law Society.jpg
325656,1,Arts and Innovation Representation,,,https://se-images.campuslabs.com/clink/images/f6645269-17ce-4926-be1e-3386f29fda8ead648745-a305-4c73-b1e7-5935cfb3f890.png?preset=med-sq,,,https://callink.berkeley.edu/organization/artsandinnovationrepresentation,LEAD Center Category: Professional RSO,https://www.law.berkeley.edu/experiential/pro-bono-program/slps/,sample_data/logo Arts and Innovation Representation.jpg
46448,1,ASCEND,"Ascend is the premier business organization dedicated to enabling its members and the community to leverage the leadership and global business potential of its members.The Ascend Berkeley Chapter focuses on a wide range of business industries; such as, accounting, consulting, finance, investment banking, and marketing.",,https://se-images.campuslabs.com/clink/images/0fce4bbd-de65-4b98-84c1-a02c647410edb0ccc709-d690-4476-b9d3-ca790bbc2cbc.png?preset=med-sq,,,https://callink.berkeley.edu/organization/ascend,LEAD Center Category: Professional RSO,Visit our Website for more information for contacts.,sample_data/logo ASCEND.jpg
45870,3,Asian American Association,"The purpose of the Asian American Association is to be at the forefront of uniting the Asian American community at Berkeley. AAA seeks to develop proactive and community-oriented leaders through a social, educational awareness, and service network. It enhances the quality of life at Berkeley through its focus on diversity appreciation.",,https://se-images.campuslabs.com/clink/images/97ddd9d7-d847-451d-8099-8290bad6630589bd3260-0e07-4699-82ac-b991a0fc405d.png?preset=med-sq,,,https://callink.berkeley.edu/organization/asianamericanassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Add us on Facebook: https://www.facebook.com/UCBAAA/ and follow us on Instagram @ucberkeleyaaa for information on how to become a member!,sample_data/logo Asian American Association.jpg
46301,1,Asian Pacific American Law Students Association,"Berkeley’s Asian Pacific American Law Student Association (APALSA), established in the 1970s, is a political, community service, academic, professional and social law student organization. APALSA is dedicated to serving and empowering the Asian and Pacific Islander American (AAPI) community at Berkeley Law and the Bay Area community at large. On the whole, APALSA’s goal is to promote a greater awareness of the diverse culture, rich history, and current struggle of Asian Pacific Americans. APALSA serves to create a safe space for AAPI students to explore their identities, build community, and honor their cultures. APALSA also works very closely with other affinity groups and student organizations in coordinating various educational and social events.",,https://se-images.campuslabs.com/clink/images/1384332b-6060-4fd2-bee2-b62aeeaa75ea178a9361-88eb-4540-b69c-10e94659d653.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/apalsa,LEAD Center Category: Professional RSO,berkeleyapalsa@gmail.com,sample_data/logo Asian Pacific American Law Students Association.jpg
236545,3,Asian Pacific American Pre-Law Association,"APAPLA aims to provide guidance for Asian/Pacific Islander undergraduate students who are considering law school. We collaborate with the Asian American Law Journal (AALJ) at BerkeleyLaw to create a mentorship program for such students to explore the legal field and current API issues. We hope to continue cultivating a tight-knit community of pre-law API undergraduates, addressing inequities by hosting workshops and panels open to the community, as well as fundraise for local community organizations.",,https://se-images.campuslabs.com/clink/images/38db083e-5643-4057-bb73-f4188037687320e01263-bbce-4632-89d5-4c24c66bc371.png?preset=med-sq,,,https://callink.berkeley.edu/organization/AsianPacificAmericanPre-LawAssn,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,APAPLA runs recruitment every Fall semester for our fellowship program. Please check our social media for more information on the application process.,sample_data/logo Asian Pacific American Pre-Law Association.jpg
160696,3,Asian Pacific Islander Social Worker Caucus,"The Asian and Pacific Islander Social Worker Caucus is a group of MSW students at UC Berkeley who self-identify as Asian and/or Pacific Islander (API). The purpose of the group is to promote networking and connection amongst emerging social workers of API backgrounds, as social services catered to the broad API community are so sparse and limited. API Caucus was also formed to create a safe holding space for API folks to build community with each other and reflect about their experiences in and out of the MSW program. API Caucus also serves to empower and uplift the voices of self-identified Asian and/or Pacific Islander students within a program that lacks representation of this community.",,https://se-images.campuslabs.com/clink/images/51a89422-d2be-46f6-8169-63b216819cb07407cc7f-8f49-4f80-94e1-177e2232cc0b.jpg?preset=med-sq,,,https://callink.berkeley.edu/organization/APISWC,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Email Sianne Susbilla at sssusbilla@berkeley.edu.,sample_data/logo Asian Pacific Islander Social Worker Caucus.jpg
378176,1,Association for Computing Machinery at Berkeley,,,https://se-images.campuslabs.com/clink/images/167502aa-4560-4332-a61d-c5427bd67fef33bd7f76-a789-4934-9552-8ee502448053.png?preset=med-sq,,,https://callink.berkeley.edu/organization/acm,LEAD Center Category: Professional RSO,Email the primary contact,sample_data/logo Association for Computing Machinery at Berkeley.jpg
45873,1,Association for Muslim Professional Development,"The Association for Muslim Professional Development (AMPD) helps Muslim students create and plan a professional future through networking, information workshops, and personalized coaching; attempting to facilitate awareness and access to professional internships and vocations. These include, but are not limited to the professional areas of finance, medicine, engineering, consulting, sales and marketing, research, law and academics. ",,https://se-images.campuslabs.com/clink/images/7c194d62-b13c-476e-885d-bf9c1e8b707ab6e82345-3536-4e37-9909-5bc4da849b18.png?preset=med-sq,,,https://callink.berkeley.edu/organization/ampd,LEAD Center Category: Professional RSO,Check out our Facebook (CalAMPD) or Instagram (@calampd) to get involved!,sample_data/logo Association for Muslim Professional Development.jpg
91682,1,Association for Socially Responsible Business,ASRB is a Haas-sponsored and SERC affiliated organization that brings together an interdisciplinary group of individuals dedicated to using business for positive change. ,,https://se-images.campuslabs.com/clink/images/55766e06-3282-426e-95a3-e51811bdc37329051d06-9a3f-4e84-91ca-003859086c2f.png?preset=med-sq,,,https://callink.berkeley.edu/organization/ASRB,LEAD Center Category: Professional RSO,Visit our website: asrbatberkeley.com,sample_data/logo Association for Socially Responsible Business.jpg
91799,1,Association of Chinese Entrepreneurs at Berkeley,"Founded in 2012, Association of Chinese Entrepreneurs (ACE) at Berkeley is the largest Chinese entrepreneurial community at UC Berkeley. Our mission is to connect entrepreneurial individuals, consolidate entrepreneurship network, and incubate future industry leaders.",,https://se-images.campuslabs.com/clink/images/06921e65-fe93-4eb1-8e96-ded06a53b436e65c74bc-3fa1-4e32-9732-54c28c2fb135.png?preset=med-sq,,,https://callink.berkeley.edu/organization/ace,LEAD Center Category: Professional RSO,Please email aceberkeley@gmail.com,sample_data/logo Association of Chinese Entrepreneurs at Berkeley.jpg
157733,2,Aurum Cosmetics,"Interested in cosmetics, chemistry, product development, beauty tech, or marketing? AURUM is the first and only club at UC Berkeley that comprehensively follows the beauty industry. We take a holistic approach, looking at everything from the science and formulations, to marketing and networking. The beauty industry will only keep growing, and we strive to be a resource to our peers and share our passion. Come join the AURUM movement!",,https://se-images.campuslabs.com/clink/images/61abc6f3-dd24-4801-a185-1e44a714ea046e757f0b-2f19-41b4-b03d-900e06055f33.png?preset=med-sq,,,https://callink.berkeley.edu/organization/AurumCosmetics,LEAD Center Category: Technology RSO,You can find more info about becoming an Aurum General or Committee member at our infosessions! Follow our Instagram @calaurumcosmetics for more information.,sample_data/logo Aurum Cosmetics.jpg
91438,3,Azerbaijanis at Berkeley,,,https://se-images.campuslabs.com/clink/images/e4f42184-1240-4f06-8de6-8d95ae0460c711d49f1e-f307-4c32-b10a-5359a1fcfd00.png?preset=med-sq,,,https://callink.berkeley.edu/organization/azerbaijanisatberkeley,LEAD Center Category: Cultural & Identity/International RSO,Students who identify as Azerbaijani or are interested in Azerbaijani culture are welcome in our organization.,sample_data/logo Azerbaijanis at Berkeley.jpg
368920,1,Azure,"Azure—the first premier organization at UC Berkeley that intersects business, consulting, fashion, and beauty! We believe that every student should have the opportunity to succeed and work with exciting brands in these rapidly changing industries. Whether you're interested in streetwear, skincare, or anything in between, we provide a platform for students to find business-related roles and work on consulting engagements with important brands in these industries. Our goal is to equalize the business community playing field at Berkeley and add new, fresh perspectives by providing professional resources and opportunities for everyone, regardless of what you're studying or your background. AZURE is not just an organization, but a movement towards a more equitable and diverse business community at UC Berkeley. Our group's beliefs center around the idea that business is a space for all, regardless of interests or background. Besides students, we are thrift shop advocates, sneaker collectors, skincare enthusiasts, and more. At AZURE, there is a space for all. Join us and be a part of the future of business in fashion and beauty at UC Berkeley!",,https://se-images.campuslabs.com/clink/images/f566a916-2978-41e6-96c0-b026224fb09b74efddd3-851d-4e38-8353-67595502963d.png?preset=med-sq,,,https://callink.berkeley.edu/organization/azure,LEAD Center Category: Professional RSO,Please visit our website or Instagram (@azure.berkeley) for the latest updates on our recruitment cycles which start at the beginning of each semester.,sample_data/logo Azure.jpg
187516,3,Bangali Student Association at Berkeley,"The Bangali Student Association at Berkeley's primary goal is to provide a space for those affiliated with or interested in the Bangali nation and culture to meet other members of the community and celebrate our language, customs and history. The BSA stands on the principles of diversity and inclusiveness for all community members, including both Bangladeshi and West Bengali/Indian students of all heritages, backgrounds, and religious affiliations. Aside from fostering a social and educational community for Bangali students, we strive to promote awareness and appreciation of Bangladesh and Bangali people in the general UC Berkeley community through the celebration of various social and cultural activities. We also seek to improve the quality of life of the Bangali people through contributions to nonprofit organizations and relief efforts that support education, health, climate resilience and economic development in Bangladesh.",,https://se-images.campuslabs.com/clink/images/88ed169d-218f-418d-8800-07a39bc55a8bed7d4b08-1bb6-4159-85d1-037ea717782b.png?preset=med-sq,,,https://callink.berkeley.edu/organization/bsaatberkeley,LEAD Center Category: Cultural & Identity/International RSO,Check out our socials! https://www.instagram.com/bsaberkeley/ or https://www.facebook.com/bangalistudentsatcal,sample_data/logo Bangali Student Association at Berkeley.jpg
91442,3,BATS - Association of Taiwanese Students at Berkeley,,,https://se-images.campuslabs.com/clink/images/abc1d96e-ed44-472c-8758-05edcd3ccb61918ebbd1-9ed9-4321-a609-27799851b109.png?preset=med-sq,,,https://callink.berkeley.edu/organization/bats,LEAD Center Category: Cultural & Identity/International RSO,Join our Facebook group to learn more about us! https://www.facebook.com/groups/203114973093623,sample_data/logo BATS - Association of Taiwanese Students at Berkeley.jpg
368704,1,Bay Advisory Group,,,https://se-images.campuslabs.com/clink/images/475a7d25-9950-4031-9142-3a6e540a4cc067c3bf35-6692-4a43-9f9f-e00016dfd5ce.jpeg?preset=med-sq,,,https://callink.berkeley.edu/organization/bayadvisorygroup,LEAD Center Category: Professional RSO,TBD,sample_data/logo Bay Advisory Group.jpg
46735,1,BBSA at Haas,"The Black Business Students Association was established in 1999 and is committed to enriching the academic, professional, and social experience of Haas students from and interested in the African Diaspora. 

Our mission is to foster professional and leadership development, academic excellence, and community involvement.",,https://se-images.campuslabs.com/clink/images/bce96b10-b6d3-4051-a7c5-dd5712fd58a5e67c9750-1045-4b10-b4ea-9ef2fbd19c14.png?preset=med-sq,,,https://callink.berkeley.edu/organization/BBSAatHaas,LEAD Center Category: Professional RSO,"To get involved, email bbsa-haas@berkeley.edu",sample_data/logo BBSA at Haas.jpg
